Start_DateTime_cdt,Stop_DateTime_cdt,Sample,SampleType,EPA_carbon,UI_carbon
2024-04-08T11:05:00,2024-04-08T11:15:00,1,A,FALSE,TRUE
2024-04-08T11:33:00,2024-04-08T11:43:00,2,A,FALSE,TRUE
2024-04-08T12:30:00,2024-04-08T12:48:00,3,S,TRUE,TRUE
2024-04-08T13:30:00,2024-04-08T13:43:50,4,S,TRUE,FALSE
2024-04-08T14:04:00,2024-04-08T14:15:30,5,S,TRUE,FALSE
2024-04-09T11:49:00,2024-04-09T12:08:40,6,S,TRUE,FALSE
2024-04-09T12:41:00,2024-04-09T13:01:00,7,S,FALSE,FALSE
2024-04-09T13:59:00,2024-04-09T14:19:00,8,S,TRUE,FALSE
2024-04-09T14:26:00,2024-04-09T14:46:00,9,S,TRUE,FALSE
2024-04-10T09:51:00,2024-04-10T10:12:20,10,A,FALSE,FALSE
2024-04-10T11:55:00,2024-04-10T12:15:00,11,S,FALSE,FALSE
2024-04-10T13:50:00,2024-04-10T14:10:00,12,S,TRUE,FALSE
2024-04-10T15:20:00,2024-04-10T15:37:30,13,S,TRUE,FALSE
2024-04-10T15:52:00,2024-04-10T16:07:00,14,S,TRUE,FALSE
